model,comparison_bit_level,prompt,layer,block_type,seq_len,hidden_dim,total_sq_energy,dim_top5_idx,dim_top5_val,dim_top5_share,dim_uniform_expected_share,dim_concentration_x,token_top5_idx,token_top5_val,token_top5_share,token_uniform_expected_share,token_concentration_x,token_top5_min_position,token_top5_contains_pos0
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_01,7,attn,314,2048,0.9911577105522156,"2023,146,189,1040,963","0.012025,0.009108,0.002267,0.002196,0.001648",0.02748534746835127,0.00244140625,11.25799832303668,"275,268,281,288,267","0.007211,0.006644,0.006565,0.0063,0.006223",0.033236325571670035,0.01592356687898089,2.087241245900878,267,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_01,7,mlp,314,2048,2.8469045162200928,"146,2023,674,1504,963","0.042606,0.017844,0.002803,0.002652,0.002283",0.02395113295752883,0.00244140625,9.810384059403809,"147,275,23,120,309","0.022224,0.020215,0.018535,0.017727,0.016291",0.03336687070688748,0.01592356687898089,2.0954394803925336,23,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_01,8,attn,314,2048,1.2966296672821045,"146,2023,591,1471,972","0.020016,0.017248,0.001686,0.00164,0.001431",0.03240769811816178,0.00244140625,13.274193149199064,"275,309,308,310,292","0.013398,0.012175,0.011394,0.011246,0.010497",0.045279178003364555,0.01592356687898089,2.843532378611294,275,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_01,8,mlp,314,2048,3.5252184867858887,"2023,146,674,1846,1349","0.049276,0.031863,0.003163,0.003096,0.002862",0.025604348566513443,0.00244140625,10.487541172843907,"120,147,275,178,313","0.025753,0.024662,0.023699,0.021678,0.021614",0.033304487036852425,0.01592356687898089,2.0915217859143325,120,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_01,9,attn,314,2048,1.5781896114349365,"2023,781,146,400,604","0.064199,0.003585,0.003401,0.00333,0.003225",0.04925778283462552,0.00244140625,20.175987849062615,"261,120,264,256,275","0.012177,0.011401,0.011278,0.010788,0.010469",0.03555513450827242,0.01592356687898089,2.232862447119508,120,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_01,9,mlp,314,2048,3.964841365814209,"2023,1159,146,963,519","0.043297,0.007471,0.0044,0.003893,0.003884",0.015875593815300893,0.00244140625,6.502643226747246,"120,147,17,161,18","0.039036,0.031634,0.025449,0.025151,0.024066",0.03665625234895293,0.01592356687898089,2.302012647514244,17,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_01,10,attn,314,2048,1.3195773363113403,"2023,674,1285,653,146","0.050819,0.002757,0.002685,0.002512,0.00234",0.04631209913765106,0.00244140625,18.969435806781874,"249,287,276,254,290","0.011631,0.011277,0.01075,0.010331,0.010132",0.0410136804178576,0.01592356687898089,2.575659130241457,249,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_01,10,mlp,314,2048,4.825394630432129,"2023,1159,1042,146,72","0.040458,0.010944,0.006016,0.005119,0.005067",0.01400999445530677,0.00244140625,5.738493728893653,"120,17,147,18,23","0.045836,0.045764,0.042223,0.037113,0.029922",0.041625251517206335,0.01592356687898089,2.614065795280558,17,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_01,11,attn,314,2048,1.1364737749099731,"2023,604,146,1932,674","0.028072,0.008526,0.007528,0.007177,0.006611",0.05096043641886401,0.00244140625,20.8733947571667,"253,220,217,178,276","0.018502,0.014166,0.013998,0.012642,0.012312",0.06301940890548033,0.01592356687898089,3.9576188792641647,178,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_01,11,mlp,314,2048,5.2422404289245605,"2023,1159,64,963,253","0.043088,0.032812,0.004909,0.004457,0.004384",0.017101439223560607,0.00244140625,7.004749505970425,"17,24,147,18,120","0.053266,0.047702,0.046937,0.046689,0.046069",0.04590840612073651,0.01592356687898089,2.883047904382253,17,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_01,12,attn,314,2048,1.589371681213379,"2023,1159,591,146,1634","0.080872,0.011409,0.00725,0.006019,0.005242",0.06970717524602824,0.00244140625,28.552058980773165,"202,256,160,255,232","0.018597,0.017209,0.016328,0.014719,0.014462",0.05116187438384185,0.01592356687898089,3.212965711305268,160,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_01,12,mlp,314,2048,6.738385200500488,"2023,1159,253,1238,963","0.107894,0.033329,0.006907,0.005893,0.005816",0.023720697650441023,0.00244140625,9.715997757620643,"9,24,17,23,21","0.089245,0.088338,0.082755,0.081447,0.081093",0.06275661349059238,0.01592356687898089,3.941115327209201,9,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_01,13,attn,314,2048,2.43572735786438,"2023,1159,819,1800,735","0.039293,0.015596,0.005037,0.003794,0.00332",0.027524017414139394,0.00244140625,11.273837532831497,"232,256,312,161,188","0.026129,0.025864,0.025732,0.02421,0.022471",0.05107532966575279,0.01592356687898089,3.207530703009275,161,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_01,13,mlp,314,2048,11.125736236572266,"2023,1159,1050,792,963","0.140502,0.125935,0.014719,0.011004,0.010541",0.027207256359836725,0.00244140625,11.144092204989123,"9,24,21,23,18","0.18014,0.177935,0.159794,0.151324,0.144981",0.07317944369965147,0.01592356687898089,4.595669064338113,9,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_01,14,attn,314,2048,5.319826126098633,"2023,1159,963,1511,253","0.274204,0.118282,0.014475,0.014277,0.0109",0.08123160710847611,0.00244140625,33.272466271631814,"123,217,237,292,232","0.070355,0.06686,0.05992,0.056117,0.053651",0.057690666701086114,0.01592356687898089,3.622973868828208,123,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_01,14,mlp,314,2048,16.089874267578125,"2023,1159,1511,1050,454","0.268982,0.244963,0.049132,0.038223,0.034744",0.03953068351065848,0.00244140625,16.191767965965713,"9,21,23,22,24","0.320003,0.312462,0.302562,0.249891,0.249834",0.08917113466674127,0.01592356687898089,5.599947257071352,9,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_01,15,attn,314,2048,9.450841903686523,"1159,1511,64,604,2023","0.48837,0.180622,0.100223,0.095766,0.094794",0.10155450454423172,0.00244140625,41.596725061317315,"123,18,21,17,292","0.09781,0.09141,0.08426,0.081585,0.07628",0.04564097211724891,0.01592356687898089,2.866253048963231,17,False
Llama-3.2-1B-Instruct,GPTQ_8bit,Prompt_01,15,mlp,314,2048,82.20655059814453,"2029,698,400,1159,1511","9.039989,8.31854,5.775869,5.107312,0.60345",0.35088638704286795,0.00244140625,143.7230641327587,"0,9,21,22,23","28.572559,1.007015,0.883849,0.826357,0.787445",0.3902027818713673,0.01592356687898089,24.504734701521866,0,True
